Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Забайкальской ж.д. (код дороги 94),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 94-001 ""ПЕТРОВСКИЙ ЗАВОД - КАРЫМСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Петровский Завод,до ст. Карымская,,,,,,,,,,,
 26.,952802 .,Чалганы, 306  км , 286  км ,,,,,,,,,,,
 27.,952906 .,Ушумун, 328  км , 264  км ,,,,,,,,,,,
 28.,953006 .,Сиваки, 353  км , 239  км ,,,,,,,,,,,
 29.,953010 .,Ту, 377  км , 215  км ,,,,,,,,,,,
 30.,953025 .,ОП Переселенческий, 390  км , 202  км ,,,,,,,,,,,
 31.,953102 .,Мухинская, 404  км , 188  км ,,,,,,,,,,,
 32.,953114 .,Берея, 426  км , 166  км ,,,,,,,,,,,
 33.,953129 .,ОП Петруши, 437  км , 155  км ,,,,,,,,,,,
 34.,953241 .,ОП Платформа 7714 км, 441  км , 151  км ,,,,,,,,,,,
 35.,953256 .,ОП Платформа 7717 км, 444  км , 148  км ,,,,,,,,,,,
 36.,953203 .,Шимановская, 450  км , 142  км ,,,,,,,,,,,
 37.,953218 .,ОП Платформа 7736 км, 463  км , 129  км ,,,,,,,,,,,
 38.,953222 .,Селеткан, 468  км , 124  км ,,,,,,,,,,,
 39.,953237 .,ОП Джатва, 481  км , 111  км ,,,,,,,,,,,
 40.,953307 .,Ледяная, 491  км , 101  км ,,,,,,,,,,,
 41.,953311 .,ОП Дом Отдыха, 498  км ,  94  км ,,,,,,,,,,,
 42.,953421 .,Бузули, 504  км ,  88  км ,,,,,,,,,,,
 43.,953415 .,ОП Юхта, 517  км ,  75  км ,,,,,,,,,,,
 44.,953504 .,Усть-Пера, 526  км ,  66  км ,,,,,,,,,,,
 45.,953627 .,Свободный, 534  км ,  58  км ,,,,,,,,,,,
 46.,953612 .,ОП Ост. Пункт 7810 км, 536  км ,  56  км ,,,,,,,,,,,
 47.,953701 .,Михайло-Чесноковская, 538  км ,  54  км ,,,,,,,,,,,
 48.,953805 .,Михайло-Чесноковская (перев.), 538  км ,  54  км ,,,,,,,,,,,
 49.,953716 .,ОП Ост. Пункт 7819 км, 545  км ,  47  км ,,,,,,,,,,,
 50.,954009 .,Арга, 549  км ,  43  км ,,,,,,,,,,,
 51.,954013 .,ОП Ост. Пункт 7826 км, 552  км ,  40  км ,,,,,,,,,,,
 52.,954028 .,ОП Зейский, 561  км ,  31  км ,,,,,,,,,,,
 53.,954121 .,ОП Платформа 7840 км, 567  км ,  25  км ,,,,,,,,,,,
 54.,954102 .,Серышево, 572  км ,  20  км ,,,,,,,,,,,
 55.,954136 .,ОП Платформа 7849 км, 577  км ,  15  км ,,,,,,,,,,,
 56.,954117 .,Украина, 584  км ,   8  км ,,,,,,,,,,,
 57.,954140 .,ОП Платформа 7862 км, 589  км ,   3  км ,,,,,,,,,,,
 58.,950008 .,Белогорск, 592  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 94-005 ""БЕЛОГОРСК - АРХАРА (Дальневосточной ж.д.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Белогорск,до ст. Архара,,,,,,,,,,,
  1.,950008 .,Белогорск,   0  км , 215  км ,,,,,,,,,,,
  2.,950120 .,ОП Платформа 7871 км,   3  км , 212  км ,,,,,,,,,,,
  3.,950135 .,ОП Платформа 7874 км,   4  км , 211  км ,,,,,,,,,,,
  4.,950101 .,Белогорск II,   7  км , 208  км ,,,,,,,,,,,
  5.,950116 .,ОП Итикут,  14  км , 201  км ,,,,,,,,,,,
  6.,955209 .,Возжаевка,  27  км , 188  км ,,,,,,,,,,,
  7.,955213 .,Тола (пп),  39  км , 176  км ,,,,,,,,,,,
  8.,955228 .,ОП Ост. Пункт 7910 км,  44  км , 171  км ,,,,,,,,,,,
  9.,955302 .,Поздеевка,  49  км , 166  км ,,,,,,,,,,,
 10.,955317 .,ОП Спартак,  57  км , 158  км ,,,,,,,,,,,
 11.,955321 .,ОП Ост. Пункт 7930 км,  65  км , 150  км ,,,,,,,,,,,
 12.,955406 .,Екатеринославка,  79  км , 136  км ,,,,,,,,,,,
 13.,955444 .,ОП Платформа 7966 км, 102  км , 113  км ,,,,,,,,,,,
 14.,955459 .,ОП Платформа 7972 км, 107  км , 108  км ,,,,,,,,,,,
 15.,955437 .,Тур, 108  км , 107  км ,,,,,,,,,,,
 16.,955603 .,Завитая, 119  км ,  96  км ,,,,,,,,,,,
 17.,956324 .,ОП Дея, 131  км ,  84  км ,,,,,,,,,,,
 18.,956313 .,Тюкан, 142  км ,  73  км ,,,,,,,,,,,
 19.,956305 .,Бурея, 164  км ,  51  км ,,,,,,,,,,,
 20.,956358 .,ОП Платформа 8039 км, 175  км ,  40  км ,,,,,,,,,,,
 21.,957045 .,Домикан, 185  км ,  30  км ,,,,,,,,,,,
 22.,957011 .,ОП Ост. Пункт 8056 км, 190  км ,  25  км ,,,,,,,,,,,
