Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
 1534.,Дачная,О,92 В-Сиб (Р),937643,
 1535.,Дачная I,О,17 Моск (Р),170127,
 1536.,Дачная II,О,17 Моск (Р),170131,
 1537.,Дачник,О,63 Кбш (Р),633527,
 1538.,Дачное,О,01 Окт (Р),034524,
 1539.,Дачное,О,13 Бел,132229,
 1540.,Дачное,О,17 Моск (Р),182266,
 1541.,Дачный,О,13 Бел,150343,
 1542.,Дачный,О,40 Од (У),423398,
 1543.,Дачный,О,92 В-Сиб (Р),920137,
 1544.,Дачный,О,94 Заб (Р),942514,
 1545.,Дачный,О,61 Прив (Р),623883,
 1546.,Дачный,О,61 Прив (Р),616979,
 1547.,Дашково,О,63 Кбш (Р),632312,
 1548.,ДАРЬИНО ОЗЕРО,О,24 Горьк (Р),263020,
 1549.,Двири,Б,57 Грз,577691,
 1550.,Двоеглазово,О,88 Крас (Р),892211,
 1551.,Дворец,О,13 Бел,138210,
 1552.,Дворецкая,О,35 Льв (У),356672,
 1553.,Дворецкий,О,32 Ю-Зап (У),340513,
 1554.,Дворцовый,О,51 С-Кав (Р),531342,
 1555.,Дворянское,О,61 Прив (Р),621731,
 1556.,Двулучное,О,58 Ю-Вост (Р),439729,
 1557.,ДВРЗ,О,32 Ю-Зап (У),320026,
 1558.,Дебрянский,О,17 Моск (Р),174630,
 1559.,Девино,О,83 З-Сиб (Р),860530,
 1560.,Девичье,О,17 Моск (Р),203871,
 1561.,Дегас,О,09 Лат,116832,
 1562.,Дегтяны,О,13 Бел,139020,
 1563.,Дегунино,О,17 Моск (Р),196038,
 1564.,Дедеркой,О,51 С-Кав (Р),533329,
 1565.,Дедново,О,13 Бел,147027,
 1566.,Дедовка,О,13 Бел,152167,
 1567.,Дедогор,О,76 Сверд (Р),771322,
 1568.,Дедюево,О,83 З-Сиб (Р),871111,
 1569.,Дезгинжя,О,39 Млд,397244,
 1570.,Декабристов,О,63 Кбш (Р),635721,
 1571.,Деловое,О,35 Льв (У),386220,
 1572.,Демейка,О,32 Ю-Зап (У),324722,
 1573.,Деменково,О,48 Дон (У),507822,
 1574.,Деменково,О,84 84-я дорога,849476,
 1575.,Демидовка,О,32 Ю-Зап (У),335515,
 1576.,Демчин,О,32 Ю-Зап (У),342222,
 1577.,Демщино,О,17 Моск (Р),170733,
 1578.,Дендрарийс,О,09 Лат,093819,
 1579.,Денисово,О,24 Горьк (Р),263828,
 1580.,Денисово,О,80 Ю-Ур (Р),804225,
 1581.,Депо,О,13 Бел,158144,
 1582.,Депо,О,17 Моск (Р),191458,
 1583.,Депо,О,17 Моск (Р),197050,
 1584.,Депо,О,17 Моск (Р),237914,
 1585.,Депо,О,28 Сев (Р),310024,
 1586.,Депо,О,45 Придн (У),476018,
 1587.,Депо,О,55 Азерб,546827,
 1588.,Депо,О,58 Ю-Вост (Р),597621,
 1589.,Депо,О,61 Прив (Р),620052,
 1590.,Депо,О,76 Сверд (Р),770014,
 1591.,Депо,О,83 З-Сиб (Р),841135,
 1592.,Депо,О,92 В-Сиб (Р),923918,
 1593.,Депо,О,92 В-Сиб (Р),924431,
 1594.,Депо,О,96 Д-Вост (Р),970425,
 1595.,Депо Засулаукс,О,09 Лат,096728,
 1596.,Депо Карталы,О,80 Ю-Ур (Р),816285,
 1597.,Депо Магнитогорск,О,80 Ю-Ур (Р),817511,
 1598.,Депо Новокузнецк,О,83 З-Сиб (Р),860013,
 1599.,Депо Фаянсовая,О,17 Моск (Р),186958,
 1600.,Депо-Локомотивное,О,40 Од (У),411850,
 1601.,Депо-Одесса-Сортировочная,О,40 Од (У),400038,
 1602.,Депо-Узел,О,45 Придн (У),450056,
 1603.,Деповская,О,17 Моск (Р),200036,
 1604.,Деповская,О,83 З-Сиб (Р),830732,
 1605.,Деповская,О,88 Крас (Р),886210,
 1606.,Деповской,О,13 Бел,155023,
 1607.,Дербеневская,О,17 Моск (Р),193449,
 1608.,Дергановка,О,32 Ю-Зап (У),339323,
 1609.,Деревенская,О,17 Моск (Р),172137,
 1610.,Деревины,Б,32 Ю-Зап (У),327237,
 1611.,Деревня Ганзурино,О,92 В-Сиб (Р),935991,
 1612.,Дерезовка,О,48 Дон (У),492519,
 1613.,Дерезовка,О,58 Ю-Вост (Р),600256,
 1614.,Дертка,О,32 Ю-Зап (У),341732,
 1615.,Десенка,О,32 Ю-Зап (У),335869,
 1616.,Детковичи,О,13 Бел,137063,
 1617.,Детская,О,17 Моск (Р),235213,
 1618.,Детскосельская,О,01 Окт (Р),032711,
 1619.,Дея,О,94 Заб (Р),956324,
 1620.,ДЕЯНОВО,О,24 Горьк (Р),265721,
 1621.,Джатва,О,94 Заб (Р),953237,
 1622.,Джвари,Б,57 Грз,573006,
 1623.,Джгун,О,43 Южн (У),442011,
 1624.,Джемикент,О,51 С-Кав (Р),544130,
 1625.,Джемуха,О,51 С-Кав (Р),530015,
 1626.,Джерат,О,55 Азерб,546475,
 1627.,Джигаевка,О,32 Ю-Зап (У),327449,
 1628.,Джигинский,О,51 С-Кав (Р),522714,
 1629.,Джимбулук,О,45 Придн (У),475341,
 1630.,Джоковети,О,57 Грз,576220,
 1631.,Джолтай,О,39 Млд,398834,
 1632.,Джуксте,О,09 Лат,097631,
 1633.,Джурын,Б,35 Льв (У),364518,
 1634.,Дзвиняч,Б,35 Льв (У),365116,
 1635.,Дзелзава,О,09 Лат,116917,
 1636.,Дзелинда,Х,92 В-Сиб (Р),903416,
 1637.,Дзержинск,О,13 Бел,144442,
 1638.,Дзержинская,О,17 Моск (Р),194511,
 1639.,Дзержинского,О,58 Ю-Вост (Р),597231,
 1640.,Дзигури,О,57 Грз,571710,
 1641.,Дзинтари,О,09 Лат,097133,
 1642.,Дзюньков,О,32 Ю-Зап (У),338759,
 1643.,Диброва,О,35 Льв (У),385641,
 1644.,Диброва,О,35 Льв (У),388531,
 1645.,Диброво,О,43 Южн (У),443688,
 1646.,Дибуны,О,01 Окт (Р),038826,
 1647.,Дивлин,О,32 Ю-Зап (У),349221,
 1648.,Дивногорский монастырь,О,58 Ю-Вост (Р),581820,
 1649.,Дивногорье,О,58 Ю-Вост (Р),581816,
 1650.,Дивное-Новое,Б,10 Клг (Р),100514,
 1651.,Дидинский Тоннель,О,76 Сверд (Р),781447,
 1652.,Дидубе,О,57 Грз,560218,
 1653.,Дизьмино,О,24 Горьк (Р),274311,
 1654.,Дикаловка,О,13 Бел,150320,
 1655.,Диканевка,О,43 Южн (У),440853,
 1656.,Диковка,О,40 Од (У),410044,
 1657.,Димзас,О,09 Лат,091851,
 1658.,Динамо,О,17 Моск (Р),234865,
 1659.,Дитва,О,13 Бел,137631,
 1660.,Дитрики,О,13 Бел,137650,
 1661.,Дмитриевка,О,28 Сев (Р),304639,
 1662.,Дмитриевка,О,48 Дон (У),491215,
 1663.,Дмитриевка,Б,61 Прив (Р),615016,
 1664.,Дмитриевка,О,89 89-я дорога,929933,
 1665.,Дмитриевская,О,58 Ю-Вост (Р),435643,
 1666.,Дмитрия,О,35 Льв (У),377838,
 1667.,Дмитровка,О,40 Од (У),414327,
 1668.,Дмитровская,О,17 Моск (Р),196112,
 1669.,Дмитротарановский,О,58 Ю-Вост (Р),434246,
 1670.,Днепровская,О,40 Од (У),417857,
 1671.,Днепрорудная,Х,82 82-я дорога,822609,
 1672.,Добрая Воля,О,58 Ю-Вост (Р),435569,
 1673.,Добрино,Б,10 Клг (Р),104356,
 1674.,Добрино,О,13 Бел,160939,
 1675.,Добровляны,О,35 Льв (У),376197,
 1676.,Добровольский,О,58 Ю-Вост (Р),600311,
 1677.,Доброселье,О,35 Льв (У),384210,
 1678.,Добростаны,О,35 Льв (У),373324,
 1679.,Добротов,О,35 Льв (У),386610,
 1680.,Добружа,О,39 Млд,391036,
 1681.,Довбище,О,32 Ю-Зап (У),342010,
 1682.,Довге (узк.),О,35 Льв (У),384615,
 1683.,Довге-Моршинское,О,35 Льв (У),377452,
 1684.,Довгердишки,О,13 Бел,162417,
 1685.,Догадаево,О,88 Крас (Р),894010,
 1686.,Догадцево,О,28 Сев (Р),310912,
 1687.,Докторовка,О,61 Прив (Р),623559,
 1688.,Долгопрудная,О,17 Моск (Р),237825,
 1689.,Доле,О,09 Лат,090045,
 1690.,Должа,О,13 Бел,160356,
 1691.,Должанская-Новая,О,84 84-я дорога,839718,
 1692.,Должниково,О,63 Кбш (Р),642164,
 1693.,Дом Отдыха,О,43 Южн (У),444214,
 1694.,Дом Отдыха,О,94 Заб (Р),953311,
 1695.,Доманинцы,О,35 Льв (У),381025,
 1696.,Домановский,О,13 Бел,162926,
 1697.,Домаха,О,45 Придн (У),454428,
 1698.,Домачево,О,13 Бел,132337,
 1699.,Домашаны,О,13 Бел,140935,
 1700.,Домашевка,О,17 Моск (Р),184721,
 1701.,Домнино,О,17 Моск (Р),216439,
 1702.,Домостроитель,О,83 З-Сиб (Р),871249,
 1703.,Донец,О,43 Южн (У),444125,
 1704.,Донец,О,48 Дон (У),507343,
 1705.,Донец,О,84 84-я дорога,849141,
 1706.,Донино,О,17 Моск (Р),194653,
 1707.,Донховка,О,01 Окт (Р),061146,
 1708.,Донцы,О,17 Моск (Р),228417,
 1709.,Дор,Б,01 Окт (Р),051110,
 1710.,Дора,О,35 Льв (У),386555,
 1711.,Доровичный,О,28 Сев (Р),298157,
 1712.,Дороговский-2,О,51 С-Кав (Р),587719,
 1713.,Дорожев,О,35 Льв (У),375758,
 1714.,Дорожков,О,51 С-Кав (Р),529624,
 1715.,Дорожный,О,10 Клг (Р),104252,
 1716.,Доротище,О,35 Льв (У),354535,
 1717.,Дорупе,О,09 Лат,091847,
 1718.,Дорурс,О,51 С-Кав (Р),513113,
 1719.,Достоевский,О,83 З-Сиб (Р),860234,
 1720.,Драница,О,35 Льв (У),367145,
 1721.,Дрануха,О,13 Бел,158017,
 1722.,Драчино,О,35 Льв (У),383538,
 1723.,Дребск,О,13 Бел,139444,
 1724.,Древлянка,О,32 Ю-Зап (У),346312,
 1725.,Дремайловка,О,32 Ю-Зап (У),325417,
 1726.,Дричин,О,13 Бел,145322,
 1727.,Дрогичин-Город,О,13 Бел,132919,
 1728.,Дроново-ВРП,О,48 Дон (У),503520,
 1729.,Дроново-ВРП,О,89 89-я дорога,978037,
 1730.,Дружба,О,32 Ю-Зап (У),348017,
 1731.,Дружба,О,35 Льв (У),387115,
 1732.,Дружба,О,40 Од (У),419373,
 1733.,Дружба,О,51 С-Кав (Р),533263,
 1734.,Дружба,О,83 З-Сиб (Р),844415,
 1735.,Дружба,О,83 З-Сиб (Р),864616,
 1736.,Дружба,О,83 З-Сиб (Р),871253,
 1737.,Друцкая,О,32 Ю-Зап (У),338725,
 1738.,ДРОБЫШЕВО,О,83 З-Сиб (Р),834733,
 1739.,Дтмашен,О,56 Ю-Кав,568417,
 1740.,Дубени,О,09 Лат,098653,
 1741.,Дубиевка,О,32 Ю-Зап (У),347813,
 1742.,Дубинка,О,32 Ю-Зап (У),328920,
 1743.,Дубины,О,58 Ю-Вост (Р),435573,
 1744.,Дубки,О,32 Ю-Зап (У),331162,
 1745.,Дублянщина,О,43 Южн (У),448874,
 1746.,Дубно,О,13 Бел,135439,
 1747.,Дубновичи,О,13 Бел,133471,
 1748.,Дубовая Корчма,П,35 Льв (У),357529,
 1749.,Дубовая Роща,О,63 Кбш (Р),638215,
 1750.,Дубовец,О,32 Ю-Зап (У),348248,
 1751.,Дубовка,О,58 Ю-Вост (Р),590336,
 1752.,Дубовый Гай,Б,61 Прив (Р),624424,
 1753.,Дубовый Гай,О,61 Прив (Р),624439,
 1754.,Дубок,О,13 Бел,132549,
 1755.,Дубок,О,96 Д-Вост (Р),971714,
 1756.,Дубочки,О,01 Окт (Р),075219,
 1757.,Дубрава,О,83 З-Сиб (Р),830056,
 1758.,Дубрава,О,83 З-Сиб (Р),852040,
 1759.,Дубравка-Боржавская (узк.),О,35 Льв (У),384530,
 1760.,Дубравная,О,24 Горьк (Р),261345,
 1761.,Дубровинка,О,17 Моск (Р),170112,
 1762.,Дубровичи,О,13 Бел,153827,
 1763.,Дубровный,О,76 Сверд (Р),793139,
 1764.,Дуброво,О,83 З-Сиб (Р),862635,
 1765.,Дуброво,О,01 Окт (Р),047878,
 1766.,Дубровский,Б,24 Горьк (Р),242016,
 1767.,Дубрыничи,О,35 Льв (У),381621,
 1768.,Дубцы,О,01 Окт (Р),041814,
 1769.,Дугинка,О,58 Ю-Вост (Р),582723,
 1770.,Дударево,О,13 Бел,150231,
 1771.,Дудергоф,О,01 Окт (Р),034219,
 1772.,Дудино-Серебряное,О,17 Моск (Р),228811,
 1773.,Дудинское,О,28 Сев (Р),301612,
 1774.,Дудичи,О,13 Бел,153831,
 1775.,Дудкино,О,17 Моск (Р),220612,
 1776.,Дудоровская,О,01 Окт (Р),058815,
 1777.,Думсяй,О,12 Лит,124612,
 1778.,Дунаево,О,94 Заб (Р),948667,
 1779.,Дунай,Б,01 Окт (Р),036426,
 1780.,Дундури (узк.),О,09 Лат,111557,
 1781.,Дуневка,Б,01 Окт (Р),042925,
 1782.,Дуплище,О,58 Ю-Вост (Р),593724,
 1783.,Дурбе,О,09 Лат,093537,
 1784.,Дурпинас,О,12 Лит,125530,
 1785.,Дустлик,О,73 Узбк,724228,
 1786.,Душкачан,Х,92 В-Сиб (Р),903331,
 1787.,Дымерка,О,32 Ю-Зап (У),323335,
 1788.,Дыми,О,01 Окт (Р),047416,
 1789.,Дырдино,О,40 Од (У),422412,
 1790.,Дычков,О,35 Льв (У),360911,
 1791.,Дяглевка,О,17 Моск (Р),184539,
 1792.,Дягуляй,О,12 Лит,128717,
 1793.,Дяткино,Б,51 С-Кав (Р),586951,
 1794.,Дятловичи,О,13 Бел,139463,
 1795.,Дятлово,О,13 Бел,142127,
 1796.,Евгеньевка,О,40 Од (У),416110,
 1797.,Евдаковский,О,58 Ю-Вост (Р),584759,
 1798.,Евдокимовский,О,61 Прив (Р),623417,
 1799.,Еглино,О,01 Окт (Р),041015,
 1800.,Еградковка,О,40 Од (У),423237,
 1801.,Ежуры,О,24 Горьк (Р),267515,
 1802.,Езерская,О,43 Южн (У),443476,
 1803.,Екатериновка,О,58 Ю-Вост (Р),596811,
 1804.,Екатериновка,О,83 З-Сиб (Р),832121,
 1805.,Екатериноградский,Б,51 С-Кав (Р),537620,
 1806.,Елань,О,58 Ю-Вост (Р),583811,
 1807.,Елань,О,88 Крас (Р),893746,
 1808.,Елань,О,92 В-Сиб (Р),924126,
 1809.,Елизаветовка,О,39 Млд,393328,
 1810.,Елисеевка,О,88 Крас (Р),889187,
 1811.,Еловка,О,88 Крас (Р),890733,
 1812.,Еловка,О,92 В-Сиб (Р),934768,
 1813.,Елочки,О,96 Д-Вост (Р),996340,
 1814.,Елочный,О,48 Дон (У),490087,
 1815.,Елочный,О,89 89-я дорога,929187,
 1816.,Елтай,Х,68 Кзх,699632,
 1817.,Елховка,О,63 Кбш (Р),642441,
 1818.,Елховка-2,О,61 Прив (Р),624410,
 1819.,Елхово,О,24 Горьк (Р),249517,
 1820.,Ельник,О,28 Сев (Р),303016,
 1821.,Ельники,О,76 Сверд (Р),764653,
 1822.,Ельниково,О,58 Ю-Вост (Р),435022,
 1823.,Еманкино,О,80 Ю-Ур (Р),803612,
 1824.,Емелино,О,76 Сверд (Р),781413,
 1825.,Енисейская,О,88 Крас (Р),888216,
 1826.,Еремеево,О,51 С-Кав (Р),515316,
 1827.,Еремино,О,13 Бел,150015,
 1828.,Ерестово,О,43 Южн (У),425529,
 1829.,Ерзово,О,01 Окт (Р),064318,
 1830.,Ерзовское,О,76 Сверд (Р),788018,
 1831.,Ерик,О,63 Кбш (Р),643124,
 1832.,Еринь,О,28 Сев (Р),282910,
 1833.,Ермолаевская,О,83 З-Сиб (Р),832865,
 1834.,Ермоловка,О,13 Бел,158619,
 1835.,Ершовка,О,61 Прив (Р),609273,
 1836.,Ершовой надел,О,01 Окт (Р),047859,
 1837.,Есауловка,О,83 З-Сиб (Р),863219,
 1838.,Есауловка,О,88 Крас (Р),892527,
 1839.,Есенинская,О,17 Моск (Р),194846,
 1840.,Есень-Платформа,О,35 Льв (У),380135,
 1841.,Есино,О,17 Моск (Р),230718,
 1842.,Есипово,О,58 Ю-Вост (Р),598612,
 1843.,Есиповская,Б,01 Окт (Р),063118,
 1844.,Естомичи,О,01 Окт (Р),058336,
 1845.,Еткары,О,61 Прив (Р),608722,
 1846.,Еткишки,О,13 Бел,137913,
 1847.,Ефановка,О,63 Кбш (Р),648611,
 1848.,Ефимовское,О,28 Сев (Р),299855,
 1849.,Ефимьево,О,24 Горьк (Р),269328,
 1850.,Ея-Ивановка,О,51 С-Кав (Р),515738,
 1851.,ж.к. Дербышки,О,24 Горьк (Р),251019,
 1852.,Ж.Д. Поселок,О,88 Крас (Р),890894,
 1853.,Жаворонки,О,17 Моск (Р),182251,
 1854.,Жаворонок,О,83 З-Сиб (Р),852182,
 1855.,Жайлау,О,68 Кзх,703414,
 1856.,Жанасу,О,68 Кзх,685311,
 1857.,Жангиз-Агач,О,68 Кзх,667928,
 1858.,Жантубей,О,61 Прив (Р),617219,
 1859.,Жаргаланта,О,92 В-Сиб (Р),936091,
 1860.,Жаргон,О,92 В-Сиб (Р),930818,
 1861.,Жарки,О,43 Южн (У),447320,
 1862.,Жарово,О,01 Окт (Р),040012,
 1863.,Жданова (узк.),О,40 Од (У),409738,
 1864.,Ждановка,О,17 Моск (Р),173619,
 1865.,Жегловка,О,17 Моск (Р),170822,
 1866.,Жедринка,О,61 Прив (Р),609416,
 1867.,Жеймяна,О,12 Лит,128543,
 1868.,Желдыбино,О,28 Сев (Р),317023,
