Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
"АЛФАВИТНЫЙ СПИСОК РАЗДЕЛЬНЫХ ПУНКТОВ (станций, разъездов, постов, блокпостов и обгонных пунктов)",,,,,
№ п/п,Наименование пункта,Операции,Дорога,Транзитные пукты и расстояния до них,Код станции
  240.,Алмазар,"Б 1,3",73 Узбк,"722400 Ташкент - 59км, 725803 Хаваст - 100км",724302
  241.,Алматы 1,"П 3,8,8н,9,10н",68 Кзх,ТП,700007
  242.,Алматы 2,"П 3,5,8,8н,10н",68 Кзх,700007 Алматы 1 - 9км,700100
  243.,Алнаши,О 3,24 Горьк (Р),"254905 Агрыз - 59км, 647523 Акбаш - 242км",255109
  244.,Алонка,"Б 1,3",96 Д-Вост (Р),"910000 Тында - 900км, 917103 Новый Ургал - 51км",916905
  245.,Алотене,О,09 Лат,"090064 Яняварти - 98км, 117604 Плявиняс - 10км",117619
  246.,Алпатово,Б 3,51 С-Кав (Р),"537601 Прохладная - 100км, 542510 Червленная-Узловая - 66км",539607
  247.,Алпатьево,Б 1,17 Моск (Р),"220006 Рыбное - 22км, 233608 Воскресенск - 69км",234507
  248.,Алтай,"Б 3,8н,10н",68 Кзх,713806 Новоустькаменогорск - 169км,714601
  249.,Алтай(рзд),О,68 Кзх,"669904 Шалкар - 477км, 662801 Бейнеу - 22км",710300
  250.,Алтайская,"Б 1,3",83 З-Сиб (Р),ТП,840005
  251.,Алтата,"Б 1,3",61 Прив (Р),"627206 Ершов - 41км, 628508 Озинки (эксп.) - 93км",628209
  252.,Алтухово,Б 3,17 Моск (Р),"203803 Навля - 19км, 204408 Суземка (эксп.) - 58км",203903
  253.,Алтыарык,"П 1,3,8",73 Узбк,"740004 Коканд I - 51км, 743604 Андижан I - 85км",742404
  254.,Алтын асыр,"1,2,3,8,9",75 Трк,"751309 Мары - 12км, 756206 Серхетабат (эксп.) - 310км",755000
  255.,Алтын кол,О,75 Трк,,752444
  256.,Алтын Мензил,О,75 Трк,,750129
  257.,Алтын Сахра,П 3,75 Трк,"751309 Мары - 76км, 752800 Ашгабат - 267км",751600
  258.,Алтынай,О ,76 Сверд (Р),"785908 Егоршино - 34км, 793209 Богданович - 36км",784731
  259.,Алтындала (рзд),О,68 Кзх,"700505 Жетыген - 78км, 708009 Актогай - 436км, 708507 Достык (эксп.) - 743км",700810
  260.,Алтынколат (рзд),О,68 Кзх,"708009 Актогай - 157км, 709105 Шар - 195км",708738
  261.,Алтынколь,"П 1,3,4,8,8н,10,",68 Кзх,"700505 Жетыген - 284км, 707701 Алтынколь (эксп.) - 9км",707608
,,"10н,11,12",,,
  262.,"Алтынколь (эксп., перев.",,68 Кзх,"700505 Жетыген - 284км, 707701 Алтынколь (эксп.) - 9км",707805
,авто),,,,
  263.,Алтынколь (эксп.),,68 Кзх,ТП,707701
  264.,Алтыновка,Б 3,32 Ю-Зап (У),"327400 Конотоп - 28км, 328704 Хутор-Михайловский - 87км",327701
  265.,Алтынсарин,"Б 1,3",68 Кзх,"668600 Никельтау - 391км, 683102 Тобол - 127км",683403
  266.,Алтынтау,"О 1,2,3,4,5,8н,",68 Кзх,693405 Ерейментау - 124км,693903
,,"9,10н",,,
  267.,Алтышево,Б,24 Горьк (Р),"247009 Красный Узел - 137км, 248105 Канаш - 104км",247704
  268.,Алуксне (узк.),О,09 Лат,111608 Гулбене - 33км,099232
  269.,Алферово,О 3,24 Горьк (Р),"240000 Муром I - 52км, 242912 Нечаевская - 39км",243205
  270.,Алхо,О,01 Окт (Р),"022404 Хийтола - 11км, 024202 Вяртсиля (эксп.) - 138км, 025120 Янисъярви - 136км",022423
  271.,Алчан,О,96 Д-Вост (Р),"970406 Хабаровск I - 260км, 974801 Сибирцево - 326км",972312
  272.,Альба,"Б 1,3",96 Д-Вост (Р),"990005 Корсаков - 586км, 993304 Холмск - 579км",997907
  273.,Алькан,Х,96 Д-Вост (Р),"960007 Комсомольск-Сортировочный - 116км, 963807 Волочаевка II - 214км",964621
  274.,Алькишкяй,Х,12 Лит,"126406 Мажейкяй - 38км, 127004 Кужяй - 49км",126603
  275.,Альмеж,О 3,24 Горьк (Р),"270908 Матанцы - 196км, 280204 Котлас-Узловой - 167км",272509
  276.,Альметьевская,"Б 1,3",63 Кбш (Р),"254905 Агрыз - 222км, 647523 Акбаш - 79км",647905
  277.,Альмухамедово,О 3,80 Ю-Ур (Р),"652000 Карламан - 370км, 816203 Карталы I - 216км",818209
  278.,Алябьево,"П 3,8н,10н,11н,",76 Сверд (Р),777117 Ивдель II (пп) - 146км,778209
,,12н,,,
  279.,Алят,"П 1,3",55 Азерб,ТП,548502
  280.,Алят (эксп. на Актау-Порт),,55 Азерб,548502 Алят - 10км,549204
  281.,Алят (эксп. на Курык-Порт),,55 Азерб,,553002
  282.,Алят (эксп. на Туркменбаши,,55 Азерб,548502 Алят - 10км,548803
,I),,,,
  283.,Алят-Новая,О 3,55 Азерб,"548502 Алят - 5км, 552705 Ширван - 43км",548703
  284.,АЛШИХОВО,О,24 Горьк (Р),"247009 Красный Узел - 218км, 248105 Канаш - 23км",248020
  285.,Амазар,"П 1,3",94 Заб (Р),"943108 Карымская - 712км, 951602 Бамовская - 269км",951104
  286.,Амангельды,"Б 1,3",68 Кзх,"664900 Семиглавый Мар (эксп.) - 272км, 666501 Илецк I (эксп.) - 109км",666605
  287.,Аманкарагай,"Б 1,2,3,5,8н,9,",68 Кзх,"683102 Тобол - 109км, 680000 Есиль - 179км, 684001 Костанай - 197км",682701
,,10н,,,
  288.,Амбарный,Б 3,01 Окт (Р),"013000 Беломорск - 181км, 014906 Кандалакша - 202км",013706
  289.,Амбары,Б,43 Южн (У),"329302 Ворожба - 28км, 445607 Басы - 36км",444910
  290.,Амвросиевка,"Б 1,3",48 Дон (У),"487210 Квашино - 10км, 487807 Иловайск - 31км",487309
  291.,Амга,О,91 Якут (Р),"911501 Нерюнгри-Пассажирская - 461км, 910000 Тында - 690км, 917103 Новый Ургал -",914228
,,,,               1587км,
  292.,Амган (рзд),О,96 Д-Вост (Р),"910000 Тында - 832км, 917103 Новый Ургал - 119км",916717
  293.,Амгунь,Б 1,96 Д-Вост (Р),960007 Комсомольск-Сортировочный - 262км,918801
  294.,Амзя,"Б 3,8н,10н,11н",24 Горьк (Р),"257000 Кама - 21км, 782505 Дружинино - 381км",257509
  295.,Амираджаны (рзд),О,55 Азерб,546808 Баладжары - 24км,547750
  296.,Амиробод,О,73 Узбк,"730002 Бухара I - 15км, 733208 Кашкадарья - 130км",730214
  297.,Амировка (рзд),О,63 Кбш (Р),"644803 Ульяновск-Центральный - 135км, 647523 Акбаш - 213км",646616
  298.,Амросиевка,"Б 1,3",89 89-я дорога,"901302 Квашино (стык) - 10км, 901707 Иловайск - 31км",901406
  299.,Амузанг,О 1,73 Узбк,"735109 Термез - 43км, 736507 Амузанг (эксп.) - 11км",736600
  300.,Амузанг (эксп.),,73 Узбк,ТП,736507
  301.,Амур,Б 3,96 Д-Вост (Р),"963525 Дежневка - 30км, 970406 Хабаровск I - 8км",970302
  302.,Амурская,О 3,94 Заб (Р),"950008 Белогорск - 177км, 963506 Волочаевка I - 458км",956502
  303.,Амурский (рзд),О,96 Д-Вост (Р),"960007 Комсомольск-Сортировочный - 14км, 967600 Ванино - 439км",960052
  304.,Амурский Залив,О,96 Д-Вост (Р),988402 Барановский - 53км,982117
  305.,Амут (рзд),Х,96 Д-Вост (Р),"910000 Тында - 69км, 917103 Новый Ургал - 882км",911713
  306.,Амшор (рзд),О,28 Сев (Р),285801 Сосногорск - 559км,288946
  307.,Амыдеря,"П 1,2,3,4,9",75 Трк,"749901 Разъезд № 161 (эксп.) - 139км, 759301 Талимарджан (эксп.) - 55км",749102
  308.,Анаколь (рзд),О,68 Кзх,"670102 Сексеул - 360км, 698004 Арыс 1 - 535км",670916
  309.,Анамакит,О,92 В-Сиб (Р),"917103 Новый Ургал - 2073км, 927105 Лена - 506км",903539
  310.,Анапа,"Б 1,4",51 С-Кав (Р),"516200 Тимашевская - 199км, 521603 Крымская - 95км",522803
  311.,Анар,"Б 3,8н,10н",68 Кзх,"690200 Сороковая - 83км, 673007 Караганда-Сортировочная - 123км",690500
  312.,Анатольская,О,76 Сверд (Р),"770005 Смычка - 30км, 780001 Екатеринбург-Сортировочный - 113км",770635
  313.,Ангаракан (рзд),Б,92 В-Сиб (Р),"917103 Новый Ургал - 1956км, 927105 Лена - 623км",903929
  314.,Ангарич,О,94 Заб (Р),"950008 Белогорск - 504км, 951602 Бамовская - 88км",952150
  315.,Ангарск,П,92 В-Сиб (Р),"920002 Тайшет - 630км, 930108 Иркутск-Пассажирский - 40км",932029
  316.,Ангасолка,О 3,92 В-Сиб (Р),"930108 Иркутск-Пассажирский - 99км, 935506 Улан-Удэ - 357км",933200
  317.,Ангаты (рзд),О,68 Кзх,"664900 Семиглавый Мар (эксп.) - 204км, 666501 Илецк I (эксп.) - 177км",666323
  318.,Ангелинская,"П 1,3,4",51 С-Кав (Р),"516200 Тимашевская - 48км, 521603 Крымская - 72км",522305
  319.,Ангоя,О 3,92 В-Сиб (Р),"917103 Новый Ургал - 2119км, 927105 Лена - 460км",903505
  320.,Ангрен,"П 1,3,10",73 Узбк,"722400 Ташкент - 125км, 725803 Хаваст - 262км",722608
  321.,Андалип,3,75 Трк,"752800 Ашгабат - 502км, 754609 Туркменбаши I (эксп.) - 1031км, 758101 Дашогуз - 48км",752504
  322.,Андижан I,"П 2,3,8н",73 Узбк,ТП,743604
  323.,Андижан II,"Б 3,8н",73 Узбк,"741505 Учкурган (эксп.) - 58км, 743604 Андижан I - 9км",742003
  324.,Андосово (обп),О,24 Горьк (Р),"244208 Арзамас II - 134км, 248105 Канаш - 121км",245037
  325.,Андреаполь,"Б 1,3",01 Окт (Р),"066008 Великие Луки - 120км, 068107 Соблаго - 36км",067903
  326.,Андреевичи (рзд),О,13 Бел,ТП,136249
  327.,Андреевка,Б,58 Ю-Вост (Р),"605404 Балашов-Пассажирский - 72км, 607607 Ртищево I - 37км",605832
  328.,Андреево,О 1,01 Окт (Р),"040008 Волховстрой I - 49км, 042107 Ирса - 14км",045603
  329.,Андреедмитриевка,"Б 1,3",51 С-Кав (Р),"530208 Армавир-Ростовский - 23км, 533403 Туапсе-Сортировочная - 211км",536007
  330.,Андреяшевка,"П 1,3",43 Южн (У),"326003 Бахмач-Пассажирский - 107км, 427308 Ромодан - 73км",426502
  331.,Андриановичи,П 3,76 Сверд (Р),"774706 Серов-Сортировочный - 36км, 777117 Ивдель II (пп) - 96км",776504
  332.,Андриановская,О,92 В-Сиб (Р),"930108 Иркутск-Пассажирский - 88км, 935506 Улан-Удэ - 368км",933144
  333.,Андроновка,Х,17 Моск (Р),000015 Московский узел - 54км,199318
  334.,Андрушовка,Х,32 Ю-Зап (У),"342701 Казатин I - 57км, 343507 Фастов I - 80км",343009
  335.,Анев,Б 1,75 Трк,"751309 Мары - 333км, 754609 Туркменбаши I (эксп.) - 570км",752707
  336.,Анжерская,"Б 1,3,9",83 З-Сиб (Р),ТП,875907
  337.,Анжерская-Западная (обп),О,83 З-Сиб (Р),"873308 Тайга - 27км, 875907 Анжерская - 4км",875926
  338.,Анзеби,"Б 3,8н,10н,11н,",92 В-Сиб (Р),"920002 Тайшет - 293км, 927105 Лена - 427км",924906
,,12н,,,
  339.,Ани,"П 1,3",56 Ю-Кав,"565809 Гюмри - 45км, 567400 Масис - 95км",566500
  340.,Анисимовка,Б 3,96 Д-Вост (Р),"982206 Угловая - 72км, 984502 Находка - 92км",983603
  341.,Анисовка,"Б 1,2,3,4,5,8,",61 Прив (Р),"620508 Саратов II-Товарный - 22км, 626307 Урбах - 66км",625501
,,"10,10н,11н,12н",,,
  342.,Анна,"П 1,2,3",58 Ю-Вост (Р),"590001 Отрожка - 121км, 591907 Грязи-Воронежские - 163км",591201
  343.,Анненково (рзд),О,63 Кбш (Р),"642102 Инза - 152км, 644803 Ульяновск-Центральный - 9км",643923
  344.,Анненск (обп),Б,80 Ю-Ур (Р),"652000 Карламан - 427км, 816203 Карталы I - 25км",816928
  345.,Аносово,3,80 Ю-Ур (Р),"804808 Полетаево I - 146км, 806606 Бердяуш - 40км",806409
  346.,Аносовская,Б,96 Д-Вост (Р),"910000 Тында - 98км, 951602 Бамовская - 82км",910424
  347.,Анракай,О,68 Кзх,"704703 Берлик I - 111км, 700007 Алматы 1 - 192км",703217
  348.,Антабары (рзд),О,76 Сверд (Р),"767308 Чусовская - 9км, 768118 Няр - 95км",767331
  349.,Антибесский,О,83 З-Сиб (Р),"873308 Тайга - 135км, 875907 Анжерская - 104км, 880002 Ачинск I - 214км",876539
  350.,Антипиха,"Б 1,3",94 Заб (Р),"935703 Заудинский - 555км, 943108 Карымская - 90км",942302
  351.,Антонины,Б 3,32 Ю-Зап (У),"334103 Староконстантинов I - 14км, 340000 Шепетовка - 56км",334207
  352.,Антоновка,"П 1,3",35 Льв (У),"354003 Ковель - 119км, 355504 Сарны - 23км",355203
  353.,Антоновка (рзд),О,40 Од (У),"417804 Херсон - 13км, 470007 Джанкой - 178км",417842
  354.,Антрацит,"Б 1,3",48 Дон (У),"500908 Должанская - 54км, 503107 Чернухино - 68км",502104
  355.,Антрацит,"Б 1,3",84 84-я дорога,"839703 Должанская - 54км, 848011 Чернухино - 68км",847311
  356.,Антропово,Б 3,28 Сев (Р),"267801 Котельнич I - 323км, 306006 Галич - 46км",306300
  357.,Антропшино,"Б 1,3,8н,10н",01 Окт (Р),"032508 Павловск - 7км, 058302 Батецкая - 114км",032406
  358.,Антсла,О 1,08 Эст,,085600
  359.,Анучино (рзд),О,63 Кбш (Р),"630105 Пенза I - 96км, 640003 Рузаевка - 46км",630923
  360.,Анциферово,О,17 Моск (Р),"194206 Люберцы I - 56км, 231805 Куровская - 11км",194757
  361.,Анциферово-Мологское,"Б 1,2,3",01 Окт (Р),"043203 Кабожа - 67км, 044507 Неболчи - 44км, 046803 Подборовье - 161км",044206
  362.,Апака (рзд),Х,76 Сверд (Р),790408 Войновка - 1055км,798518
  363.,Апакапур (рзд),Х,76 Сверд (Р),790408 Войновка - 1067км,798452
  364.,Апановка,"П 1,3",68 Кзх,"683102 Тобол - 47км, 680000 Есиль - 241км, 684001 Костанай - 135км",682909
  365.,Апатиты,"Б 1,3,8н,10н,",01 Окт (Р),"014906 Кандалакша - 93км, 018409 Мурманск - 191км",016009
,,"11н,12н",,,
  366.,Апетенок (рзд),О,96 Д-Вост (Р),"910000 Тында - 359км, 917103 Новый Ургал - 592км",913210
